id,name,subsidiary,therapeutic_area,category,type,tagline,overview,features,indication,patient_population,specs,reg_notes,image,tier,classification,business_segment,applicable_departments,model_numbers,development_status,status,fda,fda_cert,fda_qualifier,ce,ce_cert,ce_qualifier,nmpa,nmpa_cert,nmpa_qualifier,pmda,pmda_cert,pmda_qualifier,tga,tga_cert,tga_qualifier
evolution-cck-revision-knee-system,Evolution® CCK Revision Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Revision knee prosthesis,Constrained condylar revision knee system addressing bone deficiency and ligament instability,A constrained condylar revision knee system offering intraoperative flexibility to address individualized anatomical needs. Resolves bone deficiency and ligament instability while maintaining the kinematic advantages of the internal-rotating design. Available for the US market.,Intraoperative flexibility for individualized anatomy | Addresses bone deficiency and ligament instability | Retains internal-rotating kinematic advantages,Revision total knee arthroplasty,,Stemmed Femur | Tibial Insert | Stemmed Tibia,NMPA 20243130010,evolution-cck-revision-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,,,ACTIVE,,,,,,,cleared,,,,,,,,
evolution-hinge-knee-system,Evolution® Hinge Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Rotating hinge revision knee system,Rotating hinge with medial-pivot kinematics for complex revision TKA,"The Evolution® Hinge Knee System is the newest addition to the Evolution® Revision Knee family, featuring a rotating platform design with optimized patellar tracking and medial-pivot kinematics for complex revision total knee arthroplasty scenarios.",Rotating platform design | Optimized patellar tracking | Medial-pivot kinematics | Designed for seamless transition from revision to hinge,Complex revision total knee arthroplasty,,Femur: 7 sizes (2-8),FDA K230563.,evolution-hinge-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Femur: 7 sizes (2-8),,ACTIVE,cleared,,,,,,,,,,,,,,
evolution-medial-pivot-knee-system,Evolution® Medial-Pivot Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Cemented total knee system,"Flexion stability, anatomic motion, and wear-limiting design in one knee system","The Evolution® Medial-Pivot Knee System delivers flexion stability, anatomic motion, and a wear-limiting design for total knee arthroplasty.",Medial-pivot kinematics | Flexion stability | Wear-limiting design | Wide size range,Total knee arthroplasty,,Sizes 1-8+; Tibial inserts 10-24mm,"FDA K093552, K102380, K140735, K152298. CE 609829, 614793, 609033. TGA ARTG 225086, 234318, 234319, 290173. PMDA 22400BZX00317000, 22400BZX00319000, 22800BZX00340000, 22800BZX0037200.",evolution-medial-pivot-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Sizes 1-8+ | 10-24mm,,ACTIVE,cleared,,,cleared,,,,,,cleared,,,cleared,,
revision-knee-system-us,Evolution® MPX™ CCK Revision System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Revision knee prosthesis,Comprehensive modular revision knee system for complex revision cases,"A modular revision knee system indicated for skeletally mature patients with noninflammatory or inflammatory degenerative joint disease, functional deformity correction, or prior implant failure. Offers an extensive range of augments, stem extensions, and tibial options. NMPA approval estimated December 2025.","Modular augment and stem extension options | Femoral and tibial eccentric and straight stem adapters | Multiple tibial insert thicknesses | Intramedullary fill stem extensions | Applicable to osteoarthritis, rheumatoid arthritis, and avascular necrosis","Revision total knee arthroplasty in skeletally mature patients with degenerative joint disease, inflammatory arthritis, functional deformity, or failed prior devices",Skeletally mature patients,"Femoral Condyle: Type 1-8 | Tibial Insert: 10|12|14|17|20|22|24 mm | Femoral Augments: 4|8|12 mm | Tibial Augments: 5|10|15 mm | Total Stem Extensions: 10×75 to 18×75 mm (plus 17×25, 17×50) | Intramedullary Fill Stem Extensions: 10-18×100, 10-24×100, 19-24×150 mm | Tibial Tray: Sizes 1-8",NMPA estimated Dec. 2025 (under development),revision-knee-system-us.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Femoral Condyle Type 1-8 | Tibial Insert 10/12/14/17/20/22/24mm | Femoral Distal/Posterior Augments 4/8/12mm | Tibial Augments 5/10/15mm | Femoral Eccentric 4*25/8*25mm | Tibial Straight 25/50mm | Tibial Eccentric 4*25/8*25mm | Total Stem Extensions 10*75/12*75/14*75/16*75/17*25/17*50/18*75mm | IM Fill Stem Ext 10-18*100/10-24*100/19-24*150mm | Tibial Tray 1-8/2+/6+/8+ | Plug Universal,,ACTIVE,,,,,,,in progress,,,,,,,,
evolution-mpx-total-knee-system,Evolution® MPX™ Total Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Total knee prosthesis,"Next-generation internal-rotating total knee system with PS, CR, and CS options","A domestically manufactured, next-generation total knee system based on the Evolution platform. Offers Posterior Stabilized (PS), Cruciate Retaining (CR), and Internal Rotating (CS) configurations. Includes femoral condyle, tibial insert, tibial support, and patella components.","Three bearing configurations: PS, CR, CS | Based on Evolution internal-rotating platform | Domestically manufactured",Total knee arthroplasty,,Femoral Condyle | Tibial Insert | Tibial Support | Patella,NMPA 20223130337,evolution-mpx-total-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,,,ACTIVE,,,,,,,cleared,,,,,,,,
evolution-mpx-zirconium-niobium-alloy-femoral-condyles,Evolution® MPX™ Zirconium-niobium Alloy Femoral Condyles,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Femoral condyle implant,Black crystal femoral condyle combining metal hardness with ceramic wear resistance,"Zirconium-niobium alloy femoral condyles for use with the Evolution MPX system. Combines the hardness of metal with the wear resistance of ceramic, offered in PS, CS, and CR configurations.","Zirconium-niobium alloy construction | Metal hardness with ceramic wear resistance | Available in PS, CS, and CR types","Total knee arthroplasty, as femoral condyle component",,PS | CS | CR,NMPA 20243130045,s3:products/e7a9767b2b9e3fce6553a4e38369804e1baed1ae431c685faa5e9db4aebef42e.png,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,,,ACTIVE,,,,,,,cleared,,,,,,,,
evolution-nitrx-knee-system,Evolution® NitrX™ Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Coated total knee system,Medial-pivot kinematics with Titanium Niobium Nitride coating,The Evolution® NitrX™ Knee System promotes natural kinematics with the added benefit of a Titanium Niobium Nitride (TiNbN) coating on the femoral component.,Medial-pivot kinematics | Titanium Niobium Nitride coating | Natural kinematic motion,Total knee arthroplasty,,Sizes 1-8+; Tibial inserts 10-24mm,FDA K182251. CE G7 102640 0002. PMDA 30500BZX00291000.,evolution-nitrx-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Sizes 1-8+ | 10-24mm,,ACTIVE,cleared,,,cleared,,,,,,cleared,,,,,
evolution-revision-tibia-knee-system,Evolution® Revision Tibia Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Revision tibial knee system,Intraoperative flexibility to address individual anatomy in revision knee surgery,The Evolution® Revision Tibia Knee System is designed to offer surgeons intraoperative flexibility to meet individual anatomic patient needs in revision total knee arthroplasty.,Revision tibial system | Intraoperative flexibility | Broad size range,Revision total knee arthroplasty,,Sizes 1-8+,"FDA K162026, K171389. CE G70 102640 0005, 609033, 656477. TGA ARTG 196520, 196521, 247558, 317407. PMDA 22900BZX0014400, 23000BZX0007800.",evolution-revision-tibia-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Sizes 1-8+,,ACTIVE,cleared,,,cleared,,,,,,cleared,,,cleared,,
evolution-stemmed-cs-system,Evolution® Stemmed CS System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Stemmed condylar-stabilizing knee system,Intraoperative flexibility for all patient needs with medial-pivot design,The Evolution® Stemmed CS Medial-Pivot Knee System provides surgeons intraoperative flexibility to address all patient needs in total and revision knee arthroplasty.,Medial-pivot design | Stemmed configuration | Intraoperative flexibility,Total or revision knee arthroplasty,,Sizes 1-8,FDA K182125. CE 705459. TGA ARTG 392216. PMDA 30200BZX0019000.,evolution-stemmed-cs-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Sizes 1-8,,ACTIVE,cleared,,,cleared,,,,,,cleared,,,cleared,,
evolution-tibial-cones,Evolution® Tibial Cones,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Metaphyseal tibial cone,OsteoSync Ti cones for biologic fixation in metaphyseal bone loss,The Evolution® Tibial Cones address metaphyseal bone loss challenges in revision knee surgery. They use OsteoSync™ Ti material for biologic fixation and implant stability.,OsteoSync™ Ti material for biologic fixation | Addresses metaphyseal bone loss | Six size options,Revision total knee arthroplasty with metaphyseal bone loss,,Sizes 1-6,"FDA K233507, K231947.",evolution-tibial-cones.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Sizes 1-6,,ACTIVE,cleared,,,,,,,,,,,,,,
evolution-total-knee-system,Evolution® Total Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Total knee prosthesis,World's first internal-rotating knee prosthesis with 25-year clinical track record,"The world's first internal-rotating knee prosthesis, recognized by global orthopedic authority OEDP7A. Backed by over 25 years of clinical data demonstrating a 98.8% prosthesis retention rate at 17 years and a 95% patient satisfaction rate.",World's first internal-rotating knee design | 98.8% retention rate at 17 years | 95% patient satisfaction rate | 25+ years of clinical data,Total knee arthroplasty,,Femoral Condyle | Tibial Insert | Tibial Support | Patella,NMPA 20153131976,evolution-total-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-captcher-bilio,EZ-Captcher™ Bilio™ Stone Extraction Basket,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Stone retrieval devices,Biliary stone retrieval basket,Retrieval basket for stone removal via oral or percutaneous bile duct endoscopy,"The EZ-Captcher Bilio is a stone extraction basket designed for stone retrieval via oral or percutaneous bile duct endoscopy, available in multiple tip configurations and open widths.","Multiple tip shapes: 4-wire semi-circle, 4-wire spiral, 8-wire | Open widths from 6mm to 20mm",Stone retrieval via oral or percutaneous bile duct endoscopy,Patients with biliary stones,Tip: 4-wire semi-circle | 4-wire spiral | 8-wire | Open width: 6mm | 8mm | 10mm | 15mm | 20mm,NMPA 20242021485,ez-captcher-bilio.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-captcher-nephro,EZ-Captcher™ Nephro™ Disposable Endoscope Stone Retrieval Basket,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Stone retrieval devices,Urological stone retrieval basket,Stable-structure basket for stone retrieval with flexible soft-scope compatibility,"The EZ-Captcher Nephro is designed for capturing, maneuvering, and removing stones and foreign objects in urological treatments. It features a stable structure for reliable stone retrieval, flexible use with soft scopes without affecting bending, and precise basket opening control from 8-15mm.",Stable structure for reliable stone retrieval | Flexible with soft scopes | Reusable without basket damage | Precise opening control 8-15mm,Capturing and removing stones and foreign objects during urological endoscopic procedures,Patients with urological stones or foreign objects,Open width: 8-15mm,NMPA 20202020924. CE G10 107287 0002 Rev.00,s3:products/d2479d3c59ed14c58369a458dea9ded6927f1ca53726b1e33afcf6043b12d462.png,,,Urology & Gastroenterology & Cancer Treatment,Urology,"Open, Width: 8-15mm",,ACTIVE,,,,cleared,,,cleared,,,,,,,,
ez-captcher-nephro-plus,EZ-Captcher™ Nephro™ Plus Disposable Endoscope Stone Retrieval Basket,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Stone retrieval devices,Urological stone retrieval basket,Ultra-thin 1.3F basket for efficient stone retrieval at full flexible scope angles,The EZ-Captcher Nephro Plus features an ultra-thin 1.3F basket that minimizes kidney damage and maintains efficiency during full-angle bending of flexible scopes. It improves fluid return efficiency and allows 360° rotation for precise stone retrieval.,Ultra-thin 1.3F basket | Maintains efficiency at full flexible scope angles | Improved fluid return efficiency | 360° rotation for precise control | Minimizes kidney damage,Capturing and removing stones and foreign objects in the urinary system with endoscopic assistance,Patients with urological stones or foreign objects,Model: GF-1200,NMPA 20232021304,s3:products/e0bc4a7638b82fbdff81f760c1e3fa39a5e686eeecda88753b06de37b4cf3f78.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,GF-1200,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-captcher-urograft,EZ-Captcher™ UroGraft™ Disposable Endoscope Stone Retrieval Basket,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Stone retrieval devices,Urological stone retrieval basket,Umbrella-design basket for capturing and removing stones of any size in the ureter,"The EZ-Captcher UroGraft is used to capture, maneuver, and remove stones and foreign objects during urological procedures. Its umbrella design conforms to the ureter and blocks stones of any size, with easy passage through curved and narrow areas.",Umbrella design conforms to ureter | Blocks stones of any size | Easy passage through curved and narrow segments | Multiple specification options | General and film type variants,Capturing and removing stones and foreign objects during urological endoscopic procedures,Patients with urological stones or foreign objects,Models: General Type | Film Type,NMPA 20192020027. CE G10 107287 0002 Rev.00,s3:products/ab5cbb9c8e3de7914fff4a995b44cc93d746b63c32e903db6dc208fdf171bb27.png,,,Urology & Gastroenterology & Cancer Treatment,Urology,General Type | Film Type,,ACTIVE,,,,cleared,,,cleared,,,,,,,,
ez-clipper,EZ-Clipper™ Disposable Clip Device,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Surgical instruments,Hemostatic clip,World's first three-blade clip that converts to two-blade after activation,"The EZ-Clipper is a disposable hemostatic clip featuring a three-blade design with a removable isolating segment. After activation it converts to a two-blade clip, offering a shorter residual length that avoids interference with subsequent clipping and preserves operative visibility.",Three-blade to two-blade conversion after activation | Removable isolating segment | Shorter residual length | Lightweight design for better wound healing | Ample operation space and visibility,Hemostasis during endoscopic procedures,,Model: SMC-1950L-11,NMPA 20232061141,ez-clipper.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,SMC-1950L-11,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-cross-tristep,EZ-Cross™ TriStep™ Gastroenteric Balloon Dilation Catheter,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Balloon catheters,Gastroenteric balloon dilation catheter,Multi-diameter balloon catheter for dilation of alimentary tract strictures,"The EZ-Cross TriStep offers stable multi-step dilation for any part of alimentary tract strictures, with a streamlined profile and non-invasive tip design for optimal passability.",Three sequential dilation diameters per balloon | Streamlined profile | Non-invasive tip | Compatible with multiple guidewire lengths,Dilation of alimentary tract strictures,Patients with digestive or biliopancreatic tract strictures,Effective catheter length: 1800mm | 2400mm | Balloon OD (Fr): 6-7-8 | 8-9-10 | 10-11-12 | 12-13.5-15 | 15-16.5-18 | 18-19-20 | Compatible guidewire length: 2300mm | 2900mm,NMPA 20242021685,ez-cross-tristep.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-eyetm5100,EZ-Eye™5100,"Microport Urocare (Jiaxing) Co.,Ltd.","Urology, Oncology, and Gastroenterology",,Gastrointestinal Endoscope Device,Gastrointestinal Endoscope Device,"Use in conjunction with our company's electronic endoscopes for clinical endoscopic examination and diagnosis, providing image processing and light source functions",,,,,NMPA: 20252060225.,s3:products/65e0c7a88691032b2d87a3146f195942bfefdba51c78de7087c9777f946fe935.png,,,Urology & Gastroenterology & Cancer Treatment,Urology,LVP-5100,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-eye-airway,EZ-Eye™ Airway™ Disposable Electronic Bronchoscope,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Endoscopes & visualization,Disposable electronic bronchoscope,Single-use electronic bronchoscope for trachea and bronchi observation and treatment,"The EZ-Eye Airway is a disposable electronic bronchoscope designed for use with electronic endoscope image processors to provide imaging for observation, diagnosis, and treatment of the trachea and bronchi via video monitor.",Single-use design | Compatible with electronic endoscope processors | Multiple model variants,"Observation, diagnosis, and treatment of the trachea and bronchi",,Models: BRS-101S | BRS-101R | BRS-101L,NMPA 20242061356,ez-eye-airway.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,BRS-101S | BRS-101R | BRS-101L,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-eye-bilio,EZ-Eye™ Bilio™ Cholangioscopy Catheter,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Endoscopes & visualization,Cholangioscopy catheter,World's first hydrophilic-coated imaging catheter for pancreaticobiliary ducts,"The EZ Eye Bilio is a cholangioscopy catheter with a hydrophilic coating that reduces friction by 50%, facilitating passage through the duodenoscope working channel and breakthrough of the duodenal papilla. It features a lightweight handle for single-handed operation and cross-shaped four-way deflection control.",Hydrophilic coating reduces friction by 50% | Cross-shaped four-way deflection control | Lightweight single-handed handle | Designed for unexplained bile duct strictures and ERCP stone procedures,Unexplained bile duct strictures and ERCP-related stone procedures via pancreaticobiliary endoscopy,Patients with bile duct strictures or biliary stones,Model: CHS-101,NMPA 20232061141,ez-eye-bilio.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,CHS-101,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-eye-chestdura,EZ-Eye™ ChestDura™ Electronic Thoracoscope,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Endoscopes & visualization,Electronic thoracoscope,Pistol-grip ultra-thin thoracoscope for bedside pleural procedures,"The EZ-Eye ChestDura is an electronic thoracoscope with a pistol-grip handle and ultra-thin outer diameter, designed to shorten the learning curve and reduce puncture infection risk. It extends thoracoscopic procedures from the thoracoscopy room to the bedside.",Pistol-grip handle design | Ultra-thin outer diameter | Reduces puncture infection risk | Suitable for bedside use,"Observation, diagnosis, and treatment of pleural diseases via thoracoscopy","Patients requiring pleural disease diagnosis or treatment; departments: Respiratory, ICU, Thoracic Surgery",Models: THS-101R | THS-101L | THS-101E | THS-102R | THS-102L | THS-102E,NMPA 20242061007,ez-eye-chestdura.jpg,,,Urology & Gastroenterology & Cancer Treatment,Respiratory Dept | ICU | Thoracic Surgery,THS-101R | THS-101L | THS-101E | THS-102R | THS-102L | THS-102E,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-eyetmduratm,EZ-Eye™Dura™,"Microport Urocare (Jiaxing) Co.,Ltd.","Urology, Oncology, and Gastroenterology",,Electronic Gastrointestinal Endoscope,Electronic Gastrointestinal Endoscope,Suitable for use with endoscopic equipment to process the images captured by the video endoscope and transmit them to a display monitor. It employs multi-spectral fusion technology to enhance the recognition rate of blood vessels in different tissue layers,,,,,NMPA: 20252060359 | 20252060358 | 20252060322 | 20252060365.,s3:products/0a8e6e78d0fd48e811ef7d32ee6266017681368c55193c0b12f0c76f916acf91.png,,,Urology & Gastroenterology & Cancer Treatment,Urology,GAS-5100Z | COS-5100Z | GAS-5100 | GAS-5100L | COS-5100 | COS-5100L,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-eye-pyelo-maxpro,EZ-Eye™ Pyelo MaxPro Single-use Ureteroscope,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Endoscopes & visualization,Single-use ureteroscope,Advanced single-use ureteroscope with multiple OD and length options,"The EZ-Eye Pyelo MaxPro is a single-use ureteroscope for use with electronic endoscope image processors, providing imaging for observation, diagnosis, and treatment of the upper urinary tract, available in multiple outer diameters and working lengths.",Multiple outer diameter options (7.5F and 8.7F) | Multiple working lengths | Normal and hydrophilic variants | Single-use design,"Observation, diagnosis, and treatment of the upper urinary tract",Patients with upper urinary tract conditions,OD: 8.7F | 7.5F | Length: 380mm | 650mm | 680mm | Models: Normal | Hydrophilic,NMPA 20242061207,ez-eye-pyelo-maxpro.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,Normal | Hydrophilic,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-eye-pyelo,EZ-Eye™ Pyelo Single-use Digital Ureteroscope,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Endoscopes & visualization,Single-use digital ureteroscope,Disposable digital ureteroscope for upper urinary tract observation and treatment,"The EZ-Eye Pyelo is a single-use digital ureteroscope designed for use with electronic endoscope image processors to provide imaging for observation, diagnosis, and treatment of the upper urinary tract via video monitor.",Single-use design | Normal and hydrophilic variants | Compatible with electronic endoscope processors,"Observation, diagnosis, and treatment of the upper urinary tract",Patients with upper urinary tract conditions,Models: Normal | Hydrophilic,NMPA 20222060030,ez-eye-pyelo.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,Normal | Hydrophilic,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-guard-gopro,EZ-Guard™ GoPro Negative Pressure Ureteral Guiding Sheath,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Sheaths & guiding catheters,Negative pressure ureteral guiding sheath,Pre-bent guiding sheath with pressure relief for caliceal stone access,"The EZ-Guard GoPro features a pre-bent tip for handling upper and lower caliceal stones, a flexible reinforced outer sheath for direct caliceal access, and dual hydrophilic coatings. A flexible controllable pressure relief valve enhances stone clearance and reduces renal pressure.",Pre-bent tip for caliceal stone access | Flexible reinforced outer sheath | Dual hydrophilic coatings | Controllable pressure relief valve | Soft inner tip to minimize ureteral and renal pelvis damage,Access to upper and lower calyces for ureteroscopic stone procedures,Patients with upper or lower caliceal stones,Sizes: 9.5F-14F | Length: 150mm-550mm,NMPA 20242021298,ez-guard-gopro.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,9.5F-14F,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-guard,EZ-Guard™ Ureteral Access Sheath,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Sheaths & guiding catheters,Ureteral access sheath,Access sheath for endoscopic instrument passage into the urinary tract,"The EZ-Guard establishes a passage for endoscopic and other instruments into the urinary tract. It features a seamless dilator-to-outer-sheath transition for effective expansion, low friction for ease of scope entry, a double-locking mechanism for safety, and a spring coil design for anti-kinking resistance through tortuous segments.",Seamless dilator-to-sheath transition | Double-locking mechanism | Spring coil anti-kinking design | Low friction for scope entry,Establishing and maintaining endoscopic access to the urinary tract,Patients undergoing ureteroscopic procedures,Sizes: 9.5-14F | Length range: 130-550cm,NMPA 20192020216,ez-guard.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,9.5-14F | 130-550cm,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-knife-gi,EZ Knife™ GI Disposable Endoscopic Submucosal Dissection Knife,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Surgical instruments,Endoscopic submucosal dissection knife,Disposable ESD knife for gastrointestinal early cancer treatment,The EZ Knife GI is a single-use endoscopic submucosal dissection knife designed for gastrointestinal early cancer diagnosis and treatment.,,Endoscopic submucosal dissection for gastrointestinal early cancer diagnosis and treatment,Patients with gastrointestinal early-stage cancer or lesions,,NMPA 20253010713,ez-knife-gi.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,MHK-T-5-195 | MHK-T-5-195-N | MHK-I-5-195 | MHK-I-5-195-N,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-knife-gyn,EZ-Knife™ GYN Disposable Tissue Shaver,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Surgical instruments,Disposable hysteroscopic tissue shaver,Disposable shaver for resection of soft tissues and myomas via hysteroscope,"The EZ-Knife GYN features multiple tooth head shapes for resecting various soft tissues, soft and hard myomas, and diseased tissues. Its double-sided cutting edge improves resection efficiency, and three outer diameter options accommodate various hysteroscope working channels.",Multiple tooth head shape specifications | Double-sided cutting edge | Three outer diameter options | High-hardness stainless steel construction,"Resection of soft tissues, myomas, or diseased tissues during hysteroscopic procedures",Patients with gynecological intrauterine disease,Models: ML-A/B/C/D series in 32542-SC | 32540-SC | 32530-SC configurations,NMPA 20242010310,ez-knife-gyn.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,ML-A-32542-SC | ML-A-32540-SC | ML-A-32530-SC | ML-B-32542-SC | ML-B-32540-SC | ML-B-32530-SC | ML-C-32542-SC | ML-C-32540-SC | ML-C-32530-SC | ML-D-32542-SC | ML-D-32540-SC | ML-D-32530-SC,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-powerranger,EZ-PowerRanger™,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Endoscopes & visualization,Gastrointestinal endoscopic device,Next-generation GI endoscopy device currently under development,"The EZ-PowerRanger is a gastrointestinal early cancer diagnosis and treatment device currently under development, with estimated NMPA approval in December 2025.",,Gastrointestinal early cancer diagnosis and treatment,,,Estimated NMPA approval December 2025; under development,ez-powerranger.jpg,,,,,,,ACTIVE,,,,,,,in progress,,,,,,,,
ez-swordman-uro,EZ-SwordMan™ Uro Percutaneous Nephrostomy Kit,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Surgical instruments,Percutaneous nephrostomy kit,Step-expansion nephrostomy kit with short tip to minimize renal damage,"The EZ-SwordMan Uro is used in percutaneous puncture surgeries for dilating, establishing, and maintaining the puncture channel. It features stepwise expansion from 8-24F for safety, a short tip design to minimize renal damage, and a hollow needle core for fluid flow observation.",Stepwise expansion 8-24F | Short tip to minimize renal damage | Hollow needle core for fluid flow observation | Strong guidewire support | Innovative sheath base for easier tearing,"Dilating, establishing, and maintaining the percutaneous nephrostomy puncture channel",Patients requiring percutaneous nephrostomy,Sizes: 14-24F,NMPA 20202020797,ez-swordman-uro.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,14-24F,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-urocross-ureteral,EZ-UroCross™ Ureteral Dilatation Balloon Catheter,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Balloon catheters,Ureteral dilatation balloon catheter,Non-compliant high-pressure balloon catheter for safe ureteral stricture dilation,"The EZ-UroCross ureteral dilatation balloon catheter dilates ureteral strictures or prepares for ureteroscopy and stone procedures. Its non-compliant balloon rated to 20 ATM maintains shape under high pressure, and its hydrophilic surface coating aids passage through narrow and tortuous segments.",Non-compliant balloon rated to 20 ATM | Maintains shape and diameter under high pressure | Hydrophilic surface coating | Short shoulder design for proximity to stricture,Intraluminal dilation of ureteral strictures or dilation prior to ureteroscopy or stone procedures,Patients with ureteral strictures,OD: 4-10mm | Balloon length: 4-10cm,NMPA 20192140459,ez-urocross-ureteral.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,,,ACTIVE,,,,,,,cleared,,,,,,,,
ez-urocross-uropack,EZ-UroCross™ UroPack™ High Pressure Nephrostomy Balloon Catheter,MicroPort Urocare,"Urology, Oncology, and Gastroenterology",Balloon catheters,High-pressure nephrostomy balloon catheter,High-pressure balloon catheter for precise and efficient nephrostomy channel dilation,"The EZ-UroCross UroPack is used in percutaneous nephrostomy to dilate the nephrostomy channel and place a working sheath. It provides precise, safe, and efficient expansion with less bleeding and a short shoulder design for added safety.",Precise and efficient expansion | Less bleeding | Short shoulder design for safety,Dilating the nephrostomy channel and placing a working sheath during percutaneous nephrostomy,Patients requiring percutaneous nephrostomy,Sizes: 18F-30F,NMPA 20212030234,ez-urocross-uropack.jpg,,,Urology & Gastroenterology & Cancer Treatment,Urology,18F-30F,,ACTIVE,,,,,,,cleared,,,,,,,,
